Id,Label
1,Arsteel
2,Ashu
3,Bebid
4,Blushweaver
5,Brighthue
6,Brightvision
7,Cads
8,Calmseer
9,Dedelin
10,Denth
11,Edgli
12,Fafen
13,Fob
14,Fran
15,Gagaril
16,Gendren
17,Giftbeacon
18,Grable
19,Halan
20,Havarseth
21,Hopefinder
22,Inhanna
23,Jewels
24,Jlan
25,Kindwinds
26,Lemex
27,Lifeblesser
28,Llarimar
29,Lolan
30,Mab
31,Mercystar
32,Mirthgiver
33,Misel
34,Nanrovah
35,Nenefra
36,Nightblood
37,Old Chapps
38,Parlin
39,Paxen
40,Peaceyearning
41,Rariv
42,Ridger
43,Rira
44,Shashara
45,Sisirinah
46,Lightsong
47,Stillmark
49,Susebron
50,Taff
51,Tatara
52,Thame
53,Tonk
54,Treledees
55,Truthcall
56,Tuft
57,Vahr
58,Vasher
59,Vivenna
60,Vo
61,Weatherlove
62,Yarda
63,Yesteel
64,Devotion
65,Dominion
66,Preservation
67,Ruin
68,Odium
69,Cultivation
70,Honor
71,Endowment
72,Autonomy
73,Invention
74,Mercy
75,Valor
76,Whimsy
77,Virtuosity
78,Harmony
79,Aarik
80,Ais
81,Allstren
82,Baon
83,Daazk
84,Delius
85,Deral
86,Dirin
87,Doril
88,Drile
89,Elorin
90,Flennid
91,Gennel
92,Gevalden
93,Grelin
94,Gremt
95,Heelis
96,Hennin
97,Jedan
566,Jon
99,Karmat
100,Kenton
101,Kerzt
102,Khrissalla
103,Khyan
104,Loaten
105,Lokkall
106,Lokmlen
107,Lossa
108,Mastrell
109,Mellis
110,Melloni
111,Moril
112,N'Teese
113,NaiMeer
114,Praxton
115,Raagent
116,Reendel
117,Reven
118,Rite
119,Scooch
120,Skathan
121,Stumpy
122,Tain
1657,Tarn
124,Tendel
125,Torkel
126,Torth
127,Traiben
756,Trell
129,Vennin
130,Vey
131,Wilheln
132,Yeeden
801,Adien
802,Aeo
803,Ahan
804,Alonoe
805,Aona
806,Ashe
807,Ashgress
808,Ashravan
809,Atara
810,Ati
811,Atsuko
812,Azalec
813,Chamrav
814,Dahad
815,Daora
816,Daorn
817,Dashe
818,Dereth
819,Dilaf
820,Dio
821,Diolen
822,Dion
823,Diren
824,Dothgen
825,Edan
826,Ehelan
827,Ehen
828,Elao
829,Elashe
830,Elrao
831,Enelan
832,Eoden
833,Eoldess
834,Eondel
835,Eonic
836,Eshen
837,Eton
838,Eventeo
839,Fjon
840,Forton
841,Frava
842,Galladon
843,Gaotona
844,Gatrii
845,Graeo
846,Grondkest
847,Han ShuXen
848,Haona
849,Horen
850,Hrathen
851,Hurli
852,Iadon
853,Idan
854,Idotris
855,Ien
856,Isadan
857,Jalla
858,Kahar
859,Kaise
860,Karata
861,Keseg
862,Ketol
863,Kiin
864,Korath
865,Kurshina
866,Lenehe
867,Loren
868,Lukel
869,Maare
870,Mai
871,Maod
872,Mareshe
873,Matisse
874,Meala
875,Mehen
876,Naolen
877,Neoden
878,Nyen
879,Omin
880,Opa
881,Opais
882,Ramear
883,Raoden
884,Raoshem
885,Redeen
886,Riika
887,Riil
888,Riina
889,Roial
890,Saolin
891,Sarene
892,Seaden
893,Seala
894,Seinalan
895,Seor
896,ShanVen
897,Shaor
898,Shuden
899,Skai
900,Stivient
901,Taan
902,Taid
903,Tao
904,Telrii
905,Tenrao
906,Teor
907,Teorn
908,Thered
909,Tiil
910,Torena
911,Ushnaka
912,Wan
913,Waren
914,Weedfingers
915,Wulfden
916,Wyrn
917,Yazad
918,Yil
919,Zu
252,Eusto
253,First of the Sky
254,Sixth of the Dusk
255,Vathi
256,Winds
257,Yaalani
258,Ann
259,Glorf
260,Bek
261,Brick
262,Brunswick
263,Charlie
264,Crow
265,Delph
266,Diggen
267,Dirk
268,Dorp
269,Doug
270,Flik
271,Fort
272,Gremmy
273,Gret
274,Gustal
275,Holmes
276,Inspector
277,Jule
278,Kaplan
279,Laggart
280,Lem
281,Lili
282,Lotari
283,Mallory
284,Marple
285,Pakson
286,Poloni
287,Princess of Dormancy
1565,Rod
289,Salay
290,Smocke
291,Snagu
292,Sor
293,Tress
294,Ulba
295,Weev
920,Character Name
297,Admiral
298,Adonalsium-Will-Remember-Our-Plight-Eventually
299,Kent
300,Chesterton
301,Compassion
302,Confidence
303,Contemplation
304,Daggon
305,Deborah-James
306,Dirge
307,Divinity
308,Dob
309,Elegy
310,Faith
311,Hardy
