Source,Target
0,57
0,58
2,57
3,16
3,20
3,27
3,30
3,45
3,66
3,497
6,58
7,45
7,306
7,476
7,497
8,58
8,61
8,476
9,0
9,12
9,17
9,22
9,25
9,35
9,37
9,51
9,52
9,56
9,57
9,58
9,476
9,497
9,922
11,58
12,9
12,52
12,58
16,57
17,9
17,58
20,3
20,45
22,9
22,37
22,52
22,57
22,58
22,69
22,497
22,1523
25,9
25,52
25,56
25,58
25,476
25,497
26,45
26,54
26,60
27,3
27,8
27,45
27,476
27,497
27,671
28,45
29,58
29,476
30,3
30,45
33,57
35,9
35,43
35,57
35,58
35,62
35,497
36,476
37,9
37,22
37,25
37,52
37,58
37,476
40,28
40,45
41,11
42,58
43,35
43,57
43,62
45,3
45,9
45,20
45,22
45,26
45,27
45,30
45,33
45,35
45,48
45,54
45,57
45,60
45,301
45,476
45,497
45,777
46,33
46,45
48,45
48,53
48,57
48,58
48,69
48,497
48,777
51,9
51,56
51,58
52,9
52,12
52,17
52,22
52,25
52,35
52,37
52,43
52,51
52,56
52,57
52,58
52,476
53,48
53,476
53,497
54,26
54,45
54,60
55,949
55,1073
56,57
56,58
56,497
57,0
57,2
57,9
57,35
57,43
57,45
57,48
57,52
57,56
57,58
57,62
57,69
57,476
57,497
57,777
57,922
57,1022
57,1176
58,6
58,8
58,9
58,11
58,12
58,17
58,22
58,25
58,35
58,37
58,41
58,45
58,48
58,51
58,52
58,57
58,61
58,63
58,69
58,476
58,497
58,671
58,777
58,783
58,1232
60,45
60,54
60,497
61,8
61,58
62,58
63,578
63,860
63,893
64,578
65,66
65,462
65,475
65,497
65,513
65,578
65,621
65,628
65,675
65,714
65,777
65,780
65,1661
66,29
66,45
66,58
66,65
66,78
66,337
66,392
66,462
66,476
66,477
66,497
66,513
66,621
66,628
66,634
66,648
66,671
66,675
66,679
66,680
66,697
66,722
66,729
66,740
66,777
66,780
66,783
66,784
66,813
66,860
66,901
66,942
66,1073
66,1301
66,1306
66,1448
66,1511
66,1554
66,1581
66,1761
67,931
67,1073
67,1306
69,9
69,58
69,341
69,462
69,476
69,497
69,578
69,780
69,829
69,848
69,860
69,893
69,899
69,900
69,901
69,942
69,1073
69,1166
69,1169
69,1278
69,1306
69,1432
69,1485
69,1497
69,1511
69,1599
69,1639
69,1640
69,1661
69,1699
69,1700
72,803
72,860
72,918
72,1761
74,1306
74,1599
74,1639
78,337
78,364
78,433
78,476
78,538
78,621
78,634
78,662
78,722
78,737
78,774
78,783
78,784
78,1579
78,1628
100,661
100,780
121,578
121,860
260,671
260,722
260,780
260,783
260,829
260,901
260,1073
260,1306
270,634
287,476
287,671
287,1306
287,1369
292,1176
296,893
297,316
300,301
300,302
300,316
300,862
300,901
301,45
301,74
301,300
301,302
301,316
301,438
301,476
301,497
301,578
301,780
301,901
301,942
301,1073
301,1106
301,1278
301,1581
301,1615
302,300
302,301
302,308
302,316
302,326
302,470
302,922
302,1628
306,45
306,497
308,301
308,302
308,316
308,326
308,327
308,476
308,990
308,1601
308,1632
309,3
309,22
309,45
309,58
309,63
309,65
309,66
309,302
309,462
309,497
309,513
309,578
309,697
309,714
309,754
309,780
309,829
309,860
309,908
309,914
309,1278
309,1504
310,326
310,852
312,308
312,319
312,326
312,327
312,990
316,300
316,301
316,308
316,312
316,326
316,327
316,452
316,476
316,990
319,312
319,1090
321,326
326,301
326,302
326,308
326,316
326,860
327,301
327,308
327,309
327,312
327,316
327,319
327,452
327,476
327,497
327,671
327,990
327,1369
327,1628
335,462
335,476
335,587
335,675
335,697
335,714
335,754
335,780
337,461
337,476
337,568
337,621
337,634
337,722
337,737
337,783
337,784
340,784
341,353
341,362
341,367
341,462
341,476
341,492
341,497
341,505
341,634
341,661
341,672
341,697
341,714
341,754
341,780
341,789
342,723
